dbkey,audit_year
94530,2021
256745,2021
247154,2021
212124,2021
225036,2021
255075,2021
251420,2021
205821,2021
193349,2022
30647,2022
242128,2022
211875,2022
55683,2022
255075,2022
193089,2016
55815,2016
197885,2017
65462,2017
242643,2017
143139,2017
251060,2017
237083,2018
95902,2018
186072,2018
235247,2018
141202,2019
104235,2019
54936,2020
247863,2020
190364,2020
128661,2020
130520,2020
117467,2020
240432,2021
128661,2021
159008,2021
191201,2021
212267,2021
240801,2021
253527,2021
256874,2021
253836,2021
156005,2022
182241,2022
148220,2016
181306,2016
190267,2016
1447,2016
186831,2016
141352,2016
233246,2016
202361,2016
187405,2016
97820,2016
247811,2016
177312,2017
2976,2017
180895,2017
170265,2017
111045,2017
119705,2018
182848,2018
180876,2018
172606,2018
78466,2018
251060,2018
170375,2018
152320,2018
221406,2019
160877,2019
181306,2019
176944,2019
193816,2019
240544,2019
54901,2020
144780,2020
38009,2020
3308,2021
204846,2021
134330,2021
247687,2021
248409,2021
200435,2022
142576,2022
252761,2022
158089,2018
203886,2016
141944,2016
222159,2016
176280,2016
78825,2018
248053,2017
195049,2017
66214,2017
173029,2018
61486,2018
152112,2018
2565,2019
177168,2019
238213,2019
245783,2019
142069,2019
48702,2020
146898,2021
211930,2021
255454,2021
197714,2021
179990,2021
251967,2022
195307,2022
133844,2022
196375,2022
141793,2016
238213,2016
197953,2016
1445,2017
148563,2017
232513,2017
68497,2017
148031,2018
48352,2018
131885,2018
177109,2018
73371,2018
230189,2018
220500,2018
147945,2019
125375,2019
204846,2020
251178,2020
239085,2020
141787,2021
133572,2021
66346,2022
230361,2016
205150,2016
177093,2017
205901,2017
143455,2017
111566,2018
73238,2018
196589,2019
162361,2019
176408,2020
225626,2020
50668,2022
85010,2022
181829,2022
170804,2016
185474,2016
145147,2016
148279,2017
192817,2017
192208,2017
212629,2017
193564,2018
196078,2018
162361,2018
111566,2019
211619,2021
53337,2021
114688,2022
232822,2022
204449,2022
245844,2016
214503,2017
205150,2017
117856,2018
160306,2019
143473,2019
111566,2020
210571,2021
187415,2021
176492,2022
165461,2022
189881,2017
174118,2016
169685,2016
50864,2017
177342,2017
119031,2017
88948,2017
50864,2018
200278,2018
176434,2018
